岗位名称,公司名称,最低工资,最高工资,工作地点,学位要求,工作日,截止日期,岗位描述
新媒体运营实习生,普西,120,150,深圳,大专,4,2021/4/30,"【岗位职责】
    1、负责新媒体账号的日常运营管理，有一定的社群运营和内容运营能力，提升账号的用户活跃度。
    2、 根据不同平台的特性，进行内容的定制化分发及运营
    3、会生活，懂产品，有极强的产品表达能力，能用简短的文案描述一款产品给人足够购买的吸引力！
    4、挖掘和分析网友使用习惯、情感及体验感受，及时掌握新闻热点，有效完成专题策划活动负责增加粉丝数，提高关注度和粉丝的活跃度，并及时与粉丝互动；
    6、充分了解用户需求，收集用户反馈，分析用户行为及需求, 并进行阶段性的总结分析及报告。

【岗位要求】
    1、大专及以上学历，新闻学、传播、中文、广告学等专业优先；
    2、热爱新媒体行业和自媒体运营，微博、微信、 B站、小红书等新媒体平台较为熟悉，有相关行业工作经验优先
    3、学习能力强，逻辑清晰，功底过硬，有较强的信息吸收力及消化输出能力，思维活跃，有创意

	    4、执行力和沟通力强，耐心细致，有责任心，有良好的学习能力和团队合作精神。


	ps：此岗位技能导向性，不强调经验，有转正留用机会，项目落地会有项目奖金， 灵活上班时间 每周到岗3-5天"
Digital Marketing Intern-BJ-2022毕业,SAP,180,200,北京,本科,5,2021/5/31,"Responsibility and Tasks





Support digital marketing initiatives and campaigns
(Branding, Social, SEO, Paid Search, Paid Media, etc.), digital platform
operations and alignment with global teams. 


Work with experienced digital marketers while gaining hands-on industry
experience. 


Create compelling content for diversified digital channels.


Be responsible for conceptualization and implementation of digital plans
that meet marketing and branding strategies.


Work with data & perform analytical capability.


Assist in performing research to gain insights, analyzing trends, and
presentation of performance.


Collaborate with cross-functional departments and work collaboratively
in a team environment.








	What We Expect From You





Guarantee 6 months+ full-time internship in Beijing.


Onboarding in May/Jun 2021.


Bachelor/Master’s degree candidate.


Native in Chinese & Professional working proficiency in English.


Highly self-motivated and creative.


An excellent team player and enthusiastic learner with outstanding communication
skills.


A result-oriented innovator with professional capabilities and true
passion for marketing and IT industry.


Relevant experience is a plus.








Work Location: 北京市朝阳区天泽路16号院润世中心3号楼10层


Work Schedule: 每周5天；至少6个月


Graduation: 2022"
新媒体运营,合乙科技,100,150,上海,本科,4,2021/4/29,"工作职责：
1、 负责公司新媒体平台（微信、微博、今日头条等）的日常运营和管理，执行内容选题、策划、撰写、发布等工作
2、有内容原创能力，能够独立完成内容策划
3、及时掌握行业资讯和新闻热点，发掘并撰写有价值的新闻内容、热点资讯及行业情报

4、跟踪关键数据，及时分析、提出优化运营方案的方法建议


5、群社运营及维护

工作要求：
1、良好的文笔，能写!会写!爱写!熟悉新媒体传播特点，对提升阅读量有自己的看法。
2、有独立撰稿能力
3、有较强的执行力，适应力和学习能力较强"
线上新媒体运营实习生,有望职场,薪资面议,薪资面议,全国,本科,3,2021/8/31,"【岗位职责】


	1. 与同期实习生小伙伴组队，设计拉新方案，运用提供的资源实现社群用户增长，搭建优质的大学生求职社群


	2. 协助进行部分社群运营，发布实习、校招、求职等相关内容资讯


	 


	【你将收获】


	1. 一周GET实习证明（默认电子版，可邮寄）


	2. 各种实习校招内推资源优先给你，可接触全世界高校优秀的同辈和职场前辈，积累人脉资源


	3. 可独立策划社群活动，脑洞创意均可落地的自由平台


	4. 有望职场高质量求职课程


	5. 每期优秀实习生将会在有望职场公众号（10w+粉丝）进行专栏推送，作为有力的求职背书，可极大程度提升你的简历竞争力


	6. 本岗位不提供薪资，介意的同学请勿投递哈！


	 


	 


	我们是谁


	有望职场


有望职场（Tosee Career）是面向大学生与职场新人的职业教育品牌，提供优质的职业技能课程与求职服务。我们已与宝洁、腾讯、字节跳动、安永等上百家名企合作开展招聘活动，并帮助数千位学员斩获了心仪offer。有望专注于年轻人的职业成长，用心打造值得信赖的求职服务平台。"
新媒体产品助理实习生,北京链家,300,500,北京,本科,3,2021/4/29,"北京链家2019招聘链家成立于2001年，是中国领先的房地产服务企业，致力于为经纪人提供支持、服务和的生态作业环境，为客户提供优质的房地产经纪、资产管理及装饰装修等业务的综合服务平台。链家在17年时间里，已拓展至华北、华东、西南、华南、华中等主要经济带，先后进驻北京、上海、广州、深圳、天津、成都、南京、大连等三十余座城市，门店数量超过8000家，经纪人超过11万名，以及在美国、加拿大、英国、澳大利亚等国家设立分支机构。链家具备高效的线上线下一体化服务能力，线上覆盖链家网PC端、手机端和APP，链家网拥有行业领先的商机流量和产品技术实力，为消费者创造智慧高效的线上体验。招聘职位：互联网高端产品助理，可接收实习生工作职责1.负责新媒体维护2.为客户提供优质的线上体验3.熟悉线上产品，可为客户答疑，熟悉专业知识福利待遇1. 基本保障：新人实习期内可享受无责任底薪5000元/月（住宿可免费帮找月租金1000单间，步行到上班地点15分钟内）2.转正职员提供带薪年假，出国游，3年职员年薪普遍超35万,5年员工年薪普遍50万3.缴纳社保五险+公积金(自选)+商保(自选)4.带薪年假，内部完整的培训课程，每年出国游，人民大会堂国宴任职资格1.本科（含）以上学历，男女不限,专业不限，应届毕业生亦可；大四实习生，能转正2.线上沟通能力强；有亲和力，工作积极主动，乐观开朗；3.做事认真踏实，具有良好的团队合作精神"
新媒体运营实习生（公众号）,萌想科技（实习僧）,100,100,成都,本科,5,2021-05-03,"职位描述


	1、负责校招僧公众号的日常运营，常规推送内容的编辑、排版和发布；


	2、负责校招僧部分选题、内容编辑、活动策划等运营工作；


	3、参与微信推广&裂变活动的策划与执行，创新互动玩法。




	任职要求：


	1、 具有较强的文字表达能力和文案功底，能够根据不同的需求输出不同风格的文章；


	2、具有一定的审美能力，能够熟练使用秀米、135等编辑器进行排版设计；


	3、对热点和爆款文章具有一定的敏锐度和识别能力；


	4、能够熟练使用photoshop加分。"
新媒体/网络运营编辑助理,招财科技,100,150,郑州,大专,5,2021/10/25,"岗位职责：
1、根据产品的特性完成网站、落地页等的策划和文案；
2、负责产品网站对外宣传软文及广告文案撰写工作；
3、配合策划产品促销活动的制定和推广执行等工作；
4、负责公司产品、品牌文案、项目文案的创意和撰写。


	任职要求：


	1、男女不限，18—28岁；

2、思维活跃，逻辑性强（市场营销、广告学等专业优先考虑）；
3、熟悉互联网运营推广，熟悉新媒体运营推广者优先
4、了解客户心理需求，挖掘和分析用户需求习惯，收集相关资源数据，思维活跃；
5、工作积极、认真、沟通能力强，文字简练，具有良好地团队合作精神。

综合薪资5000+，具体福利待遇可以面谈

	有意者可直接投递简历！"
新媒体运营实习生,科锐国际,120,120,上海,本科,5,2021/6/30,"岗位职责：


Ø 负责公众号运营日常的文案撰写、排版和推送更新；


Ø 借助社群、朋友圈、短视频等第三方渠道推广，提升公司品牌影响力；


Ø 根据运营宣传需求，参与策划线上线下，公司品牌、校招活动，提升传播效果；


Ø 协助社交平台内容的创作、发布时间管理以及各个平台渠道的协调。


 


任职要求：


Ø 全日制统招本科，中文、新闻、传媒等相关专业优先；


Ø 有一定的文案创作能力，会PS、短视频制作优先；


Ø 有一定的文案创作、公众号运营推广等相关经验；


Ø 学习能力强，思维活跃，脑洞大，工作主动，有责任感，能承受工作压力。"
新媒体运营实习生,募格网络,100,120,西安,本科,5,2021/5/15,"岗位职责：





	1、负责公司旗下新榜500强公号（新榜月排名全站339名）及其矩阵的宣传推广，提升微信公号用户增长率；


	2、微信500强同规模媒体渠道资源开发、整理和维护，与各平台达成多元化合作，并增进联系；


	3、沟通协调合作平台相关事项，跟踪推广效果、分析数据、总结经验；


	4、搜索引擎营销等营销渠道推广方案的实施与维护。


	 


	任职要求：


	1、熟悉新媒体操作流程，有一定的文字功底和文案创作能力，有微信运营经验优先，有微信创作能力者尤其优先。


	2、热爱写作，脑洞大。


	3、对纷繁的信息保持好奇心，视野开阔，知道什么事儿热门，知道在哪里找什么东西。


	4、思维开阔，有创意，不被经验的框架束缚。


	5、想未来从事运营工作。


	6、每周能保证实习5天，至少3个月，专业不限。


	 


	你将获得：


	1、操盘一个创业上升期的公号，并了解全部过程。


	2、和资深运营人一起工作和学习的机会。


	3、这段时间会让你认清自己，了解自己是否适合这一行业。


	 


	期待你的加入！"
新媒体运营实习生,道可道也,150,250,北京,本科,3,2021-06-15,"岗位职责：
1.负责新媒体账号的内容策划、编辑，粉丝互动，平台运营工作；
2.负责相关新媒体账号的活动策划，带动粉丝增长，提高账号活性；
3.配合全职老师完成各个板块的工作内容。

任职资格：
1.有新媒体平台运营经验（例如公众号推送），有保研经历可优先录用；
2.有创新能力、认真负责；
3.实习时间3个月及以上优先

你将获得：
1. 有竞争力的薪酬：无保研经验者150元/天；有保研经验者200-250元/天；
2. 公司提供的免费住宿；
3. 一份实习证明；
4. 职业能力提升+高薪酬+北京玩乐三不误。

公司福利：
1. 专业的业务技能培训、前沿的学术资讯；
2. 拥有完善的企业管理模式，正处于成长期；
3. 组织丰富的团建活动：生日会、主题会、年会等；
4. 拥有丰富的高知人才团队储备。"
